"Time[s]",Voltage[V],,
0.001,0.01,,Rate:1kHz
0.002,0,,
0.003,-0.01,,
0.004,-0.02,,
0.005,-0.03,,
0.006,-0.05,,
0.007,-0.06,,
0.008,-0.07,,
0.009,-0.06,,
0.01,-0.03,,
0.011,0,,
0.012,0.04,,
0.013,0.06,,
0.014,0.05,,
0.015,0.04,,
0.016,0.03,,
0.017,0.06,,
0.018,0.05,,
0.019,0.03,,
0.02,0.01,,
0.021,0,,
0.022,0,,
0.023,0,,
0.024,0,,
0.025,-0.04,,
0.026,-0.02,,
0.027,-0.05,,
0.028,-0.06,,
0.029,-0.04,,
0.03,-0.03,,
0.031,-0.03,,
0.032,0,,
0.033,0.03,,
0.034,0.04,,
0.035,0.03,,
0.036,0.06,,
0.037,0.07,,
0.038,0.06,,
0.039,0.05,,
0.04,0.03,,
0.041,0.02,,
0.042,0,,
0.043,-0.03,,
0.044,-0.05,,
0.045,-0.08,,
0.046,-0.08,,
0.047,-0.06,,
0.048,-0.03,,
0.049,-0.01,,
0.05,-0.03,,
0.051,-0.01,,
0.052,0.01,,
0.053,0.04,,
0.054,0.06,,
0.055,0.05,,
0.056,0.05,,
0.057,0.02,,
0.058,0.03,,
0.059,0.03,,
0.06,0.02,,
0.061,0.01,,
0.062,0,,
0.063,-0.01,,
0.064,-0.01,,
0.065,-0.01,,
0.066,-0.01,,
0.067,-0.06,,
0.068,-0.05,,
0.069,-0.06,,
0.07,-0.08,,
0.071,-0.06,,
0.072,-0.03,,
0.073,0,,
0.074,0.04,,
0.075,0.02,,
0.076,0.05,,
0.077,0.05,,
0.078,0.03,,
0.079,0.01,,
0.08,0.03,,
0.081,0.01,,
0.082,0,,
0.083,0.01,,
0.084,-0.01,,
0.085,-0.01,,
0.086,-0.03,,
0.087,-0.05,,
0.088,-0.06,,
0.089,-0.06,,
0.09,-0.03,,
0.091,-0.01,,
0.092,0,,
0.093,0.03,,
0.094,0.04,,
0.095,0.06,,
0.096,0.06,,
0.097,0.05,,
0.098,0.06,,
0.099,0.05,,
0.1,0.03,,
0.101,0.03,,
0.102,0.02,,
0.103,0.02,,
0.104,0.01,,
0.105,-0.01,,
0.106,-0.03,,
0.107,-0.06,,
0.108,-0.06,,
0.109,-0.08,,
